Date,Date Fraction,10833.15,10832.13,10831.00,10830.30,10829.60,10828.47,10827.45,10833.15 error,10832.13 error,10831.00 error,10830.30 error,10829.60 error,10828.47 error,10827.45 error
2015-04-15,2015.2876712328766,0.10048495730027568,0.1005027388660698,0.10057438301277073,0.10068115056320666,0.10059082421805128,0.10044726297453217,0.10049450134442556,2.1332657024778274e-05,1.7508939110052844e-05,2.1568503264508992e-05,2.1219955628177544e-05,2.1160029399305517e-05,1.9552810267543655e-05,2.184571541445743e-05
2015-04-16,2015.2904109589042,0.10018306171210452,0.10054285746099684,0.10059137895105176,0.10068956708153413,0.10060666446511614,0.10049849360402953,0.1005391251331516,7.424811211337974e-05,2.4259580369244046e-05,2.2711090291266034e-05,2.601702245733998e-05,2.2970550616718976e-05,2.2316567365028268e-05,2.0809218637354132e-05
2015-04-18,2015.295890410959,0.10053262404559163,0.10051112749137422,0.10056717211251008,0.10062225413681289,0.10054574642368952,0.10052164465903912,0.10051863701897108,2.3916285679864204e-05,2.2210641141967556e-05,2.8649798553942948e-05,3.5707929751572805e-05,2.8332551056481092e-05,1.9440747804967797e-05,2.277247465887566e-05
2015-04-20,2015.3013698630136,0.10056075517157871,0.10055431373629733,0.10065033727059515,0.10073342233941258,0.10064076217268873,0.10055180868895558,0.10057549110745621,2.320809685690124e-05,2.352906960470228e-05,2.8783926063447767e-05,3.72438748568487e-05,2.8514152378863578e-05,2.7517727446588146e-05,2.237644009291547e-05
2015-04-22,2015.3068493150686,0.1004146556449903,0.10039687559391239,0.10050827933676658,0.10057132207667988,0.10054237032980776,0.10043225762673569,0.10042413628837868,2.2399463948014176e-05,2.244202359028323e-05,3.2448132663658906e-05,3.9443981454576845e-05,3.0511384724054626e-05,2.3844882915867625e-05,2.336504185301407e-05
2015-04-25,2015.3150684931506,0.10041140160794473,0.10041405096082785,0.10049149766319918,0.10060520305502973,0.10051591068588876,0.10038835748228005,0.10042019613496797,2.6575825816504984e-05,2.2132877273963086e-05,2.562935306048616e-05,3.209375654197693e-05,2.3818961392266325e-05,2.064027663410629e-05,2.1579831041689892e-05
2015-04-26,2015.317808219178,0.10040403384493107,0.10041723061749434,0.10055828559315769,0.10066299872166602,0.10059209794988788,0.100469905973576,0.10044059038162641,1.9444289982655793e-05,2.0114435616574948e-05,2.5767719675513704e-05,2.9587042936077382e-05,2.5610205528578925e-05,2.1754356373821687e-05,2.016574629267304e-05
2015-05-13,2015.3643835616438,0.10037732677331133,0.10037566755635197,0.10056483773780175,0.10061208947899997,0.10051007246545651,0.10038858203917354,0.10037419954149387,2.138801239066391e-05,1.9868645956620472e-05,3.3519077809828386e-05,4.6707872617024725e-05,3.5534056621912815e-05,1.9710444384463024e-05,1.919339723612472e-05
2015-05-19,2015.3808219178081,0.10043418124731958,0.10045739966919129,0.10052896260363468,0.1006123431800082,0.10053661702705356,0.10045988446955234,0.10046404368908289,2.1479921220683645e-05,2.1487248884709804e-05,2.3112161780820624e-05,2.813540992192524e-05,2.3430423961121033e-05,2.0638696592127288e-05,1.950487297483337e-05
2015-05-20,2015.3835616438357,0.10051962602777822,0.1005880487288149,0.10067045817773557,0.10072951339079265,0.10062205074555533,0.10054688575829725,0.10053495095370413,2.2116492960086827e-05,2.162676645270412e-05,2.581441488648151e-05,2.8170294746585777e-05,2.5973176129104035e-05,2.318641758522357e-05,2.182762380526393e-05
2015-05-22,2015.3890410958904,0.10039917962663344,0.10042268259333814,0.10054419142091932,0.10056380257778993,0.10054878689346966,0.10047852263079532,0.10045185665631363,2.3088975759980875e-05,2.1119002552945244e-05,2.2901030406712812e-05,1.8972368371104183e-05,2.3773704950530263e-05,2.2096964956871555e-05,2.367400050344285e-05
2015-06-01,2015.4164383561645,0.1004606840181532,0.10047443254326999,0.100481090791392,0.10054535163329575,0.10048198344327068,0.10046235901628515,0.10045239581749436,2.0546800427578204e-05,1.9050509854220067e-05,2.1106720898235056e-05,2.727853378502223e-05,2.456756516670067e-05,2.2975262125682338e-05,2.1980661667438674e-05
2015-06-02,2015.4191780821918,0.10043685059643433,0.10044490138066428,0.10054035741357535,0.10058887336789762,0.10052630929671444,0.10045166520533293,0.10045898208316062,2.0048025827502665e-05,2.0541589042244227e-05,2.027334309289368e-05,2.4658482628238674e-05,1.8087238462467036e-05,1.9572338490586327e-05,1.9123808523636988e-05
2015-06-03,2015.4219178082192,0.10046768391951257,0.10046811351404425,0.10053043374080937,0.10053675353426669,0.10051345642347966,0.10047734797200303,0.10048529913823065,2.1335283412505105e-05,1.9249887346754575e-05,2.499011452400628e-05,3.338875007218162e-05,2.5606301541268055e-05,2.3077727268920213e-05,2.1032797572402438e-05
2015-06-08,2015.4356164383562,0.10039597766728323,0.10041115130920862,0.10053657607320426,0.10061164118977717,0.10049281897984114,0.1003765208497891,0.10040992973552984,1.9502272834551457e-05,1.9982137597050567e-05,3.277925006844007e-05,3.9974293854898165e-05,3.018712590428664e-05,2.559961724045931e-05,2.3963678506646674e-05
2015-06-09,2015.4383561643835,0.10049563137736972,0.10051462578339207,0.10062785853840521,0.1007115356744754,0.10060302077338944,0.1005027200007014,0.10052685408227306,2.1278732975227665e-05,1.8686139516626876e-05,3.1229925916833164e-05,3.906480843731968e-05,2.8776750242089882e-05,1.8254199142578508e-05,2.1716058341304667e-05
2015-06-10,2015.441095890411,0.10036112775341671,0.10032004029768704,0.10057774493011376,0.10071523094368615,0.10057357314762028,0.10038781631334627,0.10033362179054406,2.510804573538981e-05,2.467713237409121e-05,3.683037098625951e-05,4.662295470937383e-05,3.44561634190016e-05,2.641087281187073e-05,2.6352229500094704e-05
2015-06-11,2015.4438356164383,0.10050852110941959,0.10049230545070298,0.10070509825330135,0.10079165927417615,0.10067882050415179,0.1004888549051547,0.10049202654666595,2.31579928159672e-05,1.913457604564531e-05,2.6810074223875306e-05,2.9957913446458807e-05,2.489501780084271e-05,1.9730552330522748e-05,2.2722719987954266e-05
2015-06-12,2015.4465753424658,0.10041870539449149,0.1003694710991357,0.10060577347008336,0.10078074924618702,0.10060712618790346,0.10041968615901442,0.10033607063933404,2.1363493071733256e-05,1.9838829125476987e-05,2.561589087070598e-05,3.101945310931698e-05,2.32663029080628e-05,2.049340175350311e-05,2.237213889006196e-05
2015-06-16,2015.4575342465753,0.10052540714000135,0.10052184731555833,0.10063057389038267,0.10065422253471057,0.10062104298503308,0.1005206557984299,0.1005623368686672,2.224062171966525e-05,2.0739280696624116e-05,2.5171272701262864e-05,3.1238385058141095e-05,2.7980582393877258e-05,2.4577553980882372e-05,2.364983601940693e-05
2015-06-17,2015.4602739726026,0.10047784988582102,0.10047871667385411,0.10052867580349069,0.10059993227217648,0.10054081654657628,0.10049576388983217,0.10049838453574185,2.138701655973372e-05,2.0128607231725427e-05,2.249156651185293e-05,2.741981052034348e-05,2.184962536873839e-05,2.0985901134629803e-05,2.118488712537522e-05
2015-06-18,2015.4630136986302,0.10035989598588978,0.1003874532782021,0.10041248734710127,0.10050571394933072,0.10048519916756295,0.10039834623315236,0.10043322361867695,2.7096130808007448e-05,2.562145240325057e-05,2.396591220692069e-05,2.54652886071245e-05,2.40088022910532e-05,2.3805054094706917e-05,2.5144044160143436e-05
