Date,Date Fraction,10833.15,10832.13,10831.00,10830.30,10829.60,10828.47,10827.45,10833.15 error,10832.13 error,10831.00 error,10830.30 error,10829.60 error,10828.47 error,10827.45 error
2014-02-04,2014.0958904109589,0.10035074558203404,0.10036108779349966,0.10050335164664778,0.10049317881623548,0.10044303768118724,0.10037961288933764,0.10035408192598667,2.2006657311734897e-05,2.148591765969349e-05,2.4626493364131122e-05,2.8439373987863197e-05,2.495451012951893e-05,2.680271519152259e-05,2.403294189145752e-05
2014-02-05,2014.0986301369862,0.10040322346145115,0.10039636699323568,0.10054003464836893,0.1005843338210554,0.10048265760318931,0.10044577851934011,0.10040245299390622,2.2815245454482034e-05,2.1712599221522548e-05,2.0628761854884385e-05,3.087189994958638e-05,1.9959919061240635e-05,2.124053967339739e-05,2.2732207194761133e-05
2014-02-06,2014.1013698630136,0.10042697825562781,0.1004288646388917,0.10055250486950723,0.10069872019103106,0.10055453648568022,0.1004576916115123,0.10045828157651455,1.9194203089778067e-05,2.1255917315468908e-05,2.8825594245013575e-05,4.220079990788615e-05,3.082528105184084e-05,2.028357170971427e-05,2.15894675946687e-05
2014-02-07,2014.1041095890412,0.10042971533549248,0.10043141872131019,0.10064911686252288,0.10066543272240051,0.1005374205196576,0.10043832373054545,0.1003958616070747,2.2696255170635985e-05,2.4119270114522835e-05,2.342931516623038e-05,3.319745992529505e-05,2.4875122998189706e-05,1.8958563238108697e-05,1.93454616470904e-05
2014-02-11,2014.1150684931506,0.10032249534739156,0.10034250329307501,0.10050871031804885,0.10061584156705877,0.10047704262594423,0.10041620489375902,0.1003271365480408,1.915411495229045e-05,1.946982623468295e-05,2.6754226310410985e-05,3.207508024766677e-05,2.5762738038021466e-05,1.937446137418531e-05,2.034518802083474e-05
2014-02-12,2014.1178082191782,0.10039413922203984,0.10037423529218152,0.10049105742156228,0.10057949644789059,0.10046538044068777,0.10039836948594331,0.1003631724281553,2.3088376268476876e-05,2.2636074166801218e-05,3.21836920314014e-05,3.7688611796933e-05,2.925508099404381e-05,2.1280389715324772e-05,2.0510091735118395e-05
2014-02-13,2014.1205479452055,0.10036265323893691,0.10035024781108295,0.10039966334475559,0.10040210058963055,0.10039432253122255,0.10036689588799297,0.10034074567177839,2.206228470111986e-05,2.1908069344674318e-05,3.560334287891697e-05,4.455272796175115e-05,3.493080510725892e-05,2.480419053040848e-05,2.0708765007485787e-05
2014-02-14,2014.123287671233,0.10033881692070623,0.10035554516097385,0.10045459707344931,0.1005270946901741,0.10035878953858299,0.10034013206544334,0.10034295195770711,2.2372819588680857e-05,2.5341296639128453e-05,3.813232682148069e-05,4.952978172375115e-05,3.828353314213594e-05,2.3727150650855775e-05,2.4779716384229157e-05
2014-02-24,2014.150684931507,0.10030844688786683,0.10028632100974061,0.10016818800943854,0.10015113362851279,0.10022243594551772,0.1002853012054205,0.1002711733225532,3.0065908986260672e-05,2.7234501744347737e-05,5.08892647216997e-05,6.860346995296804e-05,4.655247128921413e-05,2.530848355504021e-05,2.4940461438776077e-05
2014-02-27,2014.158904109589,0.1003790397218556,0.10040928253139728,0.10043569057364134,0.10041374249073738,0.10041995966563955,0.10037694873189539,0.10038551378066077,2.071849312878697e-05,2.2974525738794683e-05,3.291370402020824e-05,4.587687322209017e-05,2.6526709146004312e-05,2.1046787291820747e-05,2.2315511827771994e-05
2014-02-28,2014.1616438356164,0.10037617940352143,0.10040145335160355,0.10045685783612625,0.10050221631005454,0.10045419223485222,0.10040786574801089,0.10039510083451497,2.0796609193511522e-05,1.9530674681287307e-05,3.493678671782107e-05,4.7559579532667145e-05,3.080970581660475e-05,2.0230151885671918e-05,2.0868197737001114e-05
2014-03-01,2014.164383561644,0.1004200539253293,0.10038291107461804,0.10044687059635858,0.10052916799271917,0.10047872968775476,0.1003910071048009,0.1004216425194766,1.9091408557642335e-05,2.018230166854477e-05,2.7963743092777744e-05,3.909311051709714e-05,2.5832240474960687e-05,2.076379549788827e-05,1.9677175998250805e-05
2014-03-02,2014.1671232876713,0.1004214593881225,0.10040023756575828,0.10044862347401569,0.10047334071358041,0.10046025938023329,0.1003878227265995,0.10040442153217873,1.995214002301013e-05,1.9024689918387857e-05,3.7757169524923306e-05,5.205771426151965e-05,3.311230106289984e-05,1.808045908060787e-05,1.924168549769541e-05
2014-03-03,2014.1698630136987,0.10045378903259557,0.10043056666927593,0.10050034090651243,0.10054952009085225,0.10048699269813237,0.10046115985464338,0.1004477882508913,2.1002013274924108e-05,2.2163185419036378e-05,3.927255150856488e-05,5.148512519247117e-05,3.7112299028909605e-05,2.4467056810560005e-05,2.269577826551688e-05
2014-03-07,2014.1808219178083,0.1003753767533297,0.10040264515411412,0.1005359776018482,0.10053227200957482,0.10046785403136306,0.10039884775254589,0.10036408617630328,2.2727388226577115e-05,2.0438076426757036e-05,3.0547436873886484e-05,4.4817081507411865e-05,3.213923769663585e-05,2.0364863818710785e-05,2.0189869508194852e-05
2014-03-13,2014.1972602739727,0.10042364053815636,0.10037681758430747,0.1003900787275908,0.10033242822401148,0.10041320042668869,0.1004168657034016,0.10041783612709851,1.9606000378271316e-05,1.829792838780383e-05,3.052741153416982e-05,4.8137366981671536e-05,2.992445586520927e-05,2.1046184929478104e-05,1.9498060356211855e-05
2014-03-14,2014.2,0.10044406853594252,0.10043451906121234,0.10039711021415529,0.10044089079761628,0.10045146702270781,0.10042902585059268,0.10043612666847067,2.2243087855805252e-05,2.1666080808331193e-05,2.245100627228828e-05,2.8678255963961373e-05,2.2304854019711136e-05,1.9264967439392523e-05,2.5936014352175627e-05
2014-03-15,2014.2027397260274,0.10039347386080297,0.10042543869916248,0.10058834039654023,0.10068068951538392,0.10057584377434649,0.10042034162273357,0.10041253740464626,1.844467327279163e-05,2.0872450997375407e-05,1.9739008476863954e-05,2.806931239114056e-05,2.2343218579592173e-05,2.0891161106102763e-05,2.117820908143404e-05
2014-03-16,2014.2054794520548,0.10041421082838876,0.10041583679346214,0.10044569142573334,0.10049690518101635,0.10045385704098177,0.10040336733924456,0.10039232012091634,2.4371831829774747e-05,2.4158348866665304e-05,3.007052738423015e-05,3.56183235924405e-05,2.6072008307222335e-05,2.3447265666396113e-05,2.0364738348487063e-05
2014-03-17,2014.2082191780821,0.10037602488567061,0.10035966290741259,0.10044491109808876,0.10045858520882105,0.10048130725050668,0.10045000484268161,0.10046097928011515,2.3893748879926465e-05,2.5107754333127316e-05,2.791598702051052e-05,3.489861966058782e-05,2.431390871048392e-05,2.3942974268905547e-05,2.1693266918256785e-05
2014-03-20,2014.2164383561644,0.10038070409230712,0.10037590098459256,0.10045474993776077,0.10047919491378142,0.10043683882180818,0.10037982125482721,0.10038779789793653,2.384702956997881e-05,2.4161340165668384e-05,2.9428352580963174e-05,3.0047451744066978e-05,2.822658181637144e-05,2.2915371976003066e-05,2.3666732466488453e-05
2014-03-21,2014.2191780821918,0.10041469117129112,0.10039163850322895,0.10037824058965694,0.1004152171989839,0.10038359551101542,0.10037978878075951,0.10041728489622948,2.199171480341614e-05,2.4008956317431634e-05,2.5564092923590756e-05,3.30242590144023e-05,2.7415694502980364e-05,2.0483772709799158e-05,2.006317904698238e-05
2014-03-22,2014.2219178082191,0.10043282214234019,0.10043969167794045,0.10047649561560779,0.10046281873170161,0.10046680862608909,0.10043425812832497,0.10048535015495741,2.229270951839288e-05,2.2143453772754745e-05,2.761179097224899e-05,4.153252870160927e-05,2.739147176968094e-05,1.9266624690854517e-05,2.2019042585393623e-05
2014-03-23,2014.2246575342465,0.100430643930295,0.1004258182935279,0.10036463387504924,0.10036371894897762,0.10040495480936586,0.10044086261341648,0.10044919749610602,2.151230764825955e-05,1.724294764634298e-05,3.6898489043473765e-05,4.829226880582626e-05,3.377265490442642e-05,1.8594458471728794e-05,2.4441218551743084e-05
2014-03-24,2014.227397260274,0.1004085674081731,0.10038783519456379,0.10047296656035659,0.10053562688021536,0.1004541361692931,0.10044468459577997,0.10041144118005546,1.998824557162132e-05,2.1814233795024564e-05,2.6481332281040573e-05,3.209656488139681e-05,2.344237169580096e-05,1.962067411214686e-05,1.756873884991978e-05
2014-03-25,2014.2301369863014,0.10039779977149305,0.10045333599289286,0.10053316219553007,0.10056302456767745,0.10055096339539686,0.10041744741086354,0.10039955339425681,2.055454867805089e-05,1.8427841183158124e-05,2.0559455550877803e-05,2.4596318925095815e-05,1.8071295030079777e-05,1.7822206312993677e-05,1.9394588722596675e-05
2014-03-26,2014.2328767123288,0.10042423528386676,0.1004569887259805,0.10063535594691267,0.10072608655420032,0.10059845293284268,0.10043491064143316,0.10044448621503367,2.2373939767571583e-05,1.9735902525327283e-05,2.640916427958989e-05,3.1817654723647046e-05,2.572020505844602e-05,2.3973221030584446e-05,1.9929573966961834e-05
2014-03-27,2014.2356164383561,0.10041689789827042,0.10041518331259604,0.1005968162604587,0.10071287168406683,0.100589104004887,0.10041920632484932,0.10041623373724227,2.6331382233873438e-05,1.9243052706879888e-05,2.3666639290296875e-05,2.6711468137816058e-05,2.5972207936899593e-05,2.0879261091061573e-05,2.150924236436977e-05
2014-03-30,2014.2438356164384,0.10039078892288647,0.10042454834481915,0.10051795281649484,0.10057379200167679,0.10052240442866332,0.10043853129796247,0.10043648008628757,2.073145705712141e-05,1.6258822392606623e-05,2.159252281003675e-05,2.649630969860168e-05,2.188927787669737e-05,2.0590047198007964e-05,1.9469355432188113e-05
2014-03-31,2014.2465753424658,0.10039736130229315,0.10041383442796578,0.10052469289246771,0.10063004218323755,0.10051439537435511,0.1004265825712727,0.10042748324608781,1.9712544433231144e-05,1.8705872833401016e-05,2.1251378153308736e-05,2.4348760602872895e-05,2.21618953387189e-05,1.886844924997595e-05,1.7795521505319633e-05
2014-04-03,2014.2547945205479,0.10038600449902267,0.10039981741985096,0.10048029338401604,0.10055104782201219,0.10045414160513885,0.10042431579159188,0.10040462262912964,2.2945479722080404e-05,2.0187512120143586e-05,2.9422083644521367e-05,3.9127700818236485e-05,2.7288001539073428e-05,2.1367915169356462e-05,1.91462619383441e-05
2014-04-04,2014.2575342465752,0.10035176797805002,0.10035278617168314,0.1004010104366459,0.10041881298030379,0.10040017932320142,0.10034973953929269,0.10039137617522984,1.9881903604901178e-05,1.9890915642215275e-05,2.5848450979687632e-05,3.570351848941498e-05,2.356651179469894e-05,1.8680236010016256e-05,1.8228222360648102e-05
2014-04-05,2014.2602739726028,0.10040632150265634,0.10041238208843013,0.10047203177758413,0.100585207341851,0.10049346169554943,0.1004433627604739,0.10043373412925839,1.9206175541954015e-05,1.8825652198907738e-05,2.244218543040223e-05,2.8016993663290397e-05,1.9600726821644376e-05,1.8511463666245372e-05,1.806032127727282e-05
2014-04-06,2014.2630136986302,0.10046571736358728,0.10045157919983223,0.10050065781084588,0.10056776357390308,0.1005091298236047,0.10039041801394699,0.10038576655818918,2.111437626185671e-05,2.1623543953474138e-05,2.685988165985472e-05,3.284435445874151e-05,2.410780304131324e-05,2.4306105102676885e-05,2.0474175373701784e-05
2014-04-07,2014.2657534246575,0.10042983858415196,0.10042010989849597,0.10052360318247518,0.10052689828841416,0.10050213427790773,0.10042638148920317,0.10041301527583496,2.0454074223602902e-05,1.9971653491145196e-05,3.028883682528749e-05,3.554361499030486e-05,2.6031464489204673e-05,2.232152061841787e-05,1.876387478412698e-05
2014-04-08,2014.268493150685,0.10040566631674908,0.10037156308743714,0.10043483815048654,0.10046287789437514,0.10043887199248905,0.1004253492184103,0.10043456412437171,1.918575086279122e-05,2.1024929771764758e-05,2.714156439385948e-05,3.4384242266197705e-05,2.3668426734306882e-05,1.9402393333447117e-05,1.977723915341677e-05
2014-04-09,2014.2712328767122,0.10036693806968384,0.10038766835386641,0.10047907507668569,0.10050915936496442,0.1004674407549878,0.10042769704002583,0.10042161393993837,1.7053743717354666e-05,1.9934827152049693e-05,2.1696547734822952e-05,2.5264085448101005e-05,2.0524836682601574e-05,1.7583454002272308e-05,1.9129438390875338e-05
2014-04-10,2014.2739726027398,0.10035826522250446,0.10037596602199889,0.10051203160425419,0.10054914891562057,0.10055623904503141,0.10035729165764394,0.10033214835435772,2.033044322419499e-05,1.7432556270529553e-05,2.2454745180424662e-05,2.8432607793034402e-05,2.358938515330331e-05,2.303734314254369e-05,2.086035420232294e-05
2014-04-14,2014.2849315068493,0.10043671183388903,0.10043071461730362,0.10058689846367033,0.10064687084384102,0.1005518989337834,0.10046485787713538,0.10044606053858586,1.9842252512120586e-05,1.9689679734562488e-05,2.0335806786709283e-05,2.3803454157019052e-05,2.098123150865056e-05,1.807831635234671e-05,1.7328784312458225e-05
2014-04-25,2014.3150684931506,0.10042400014340196,0.10043563272342025,0.10061698734293564,0.10068585405020065,0.10059166063787528,0.10041829210244041,0.10044202105487758,1.7939735232332565e-05,2.0000640366494828e-05,1.9787371634888637e-05,2.0931481030118383e-05,1.9832957876039086e-05,1.7508944797788134e-05,1.9136551465940093e-05
2014-04-26,2014.317808219178,0.10039042877175927,0.10043212010134223,0.10059175483835026,0.10066484457182234,0.10053275901829195,0.10039755992833721,0.10044862541407655,1.922476345618508e-05,1.9427379386041177e-05,2.213977394392131e-05,2.6244476525586156e-05,2.203721459539862e-05,1.779590703639648e-05,1.9242550505899482e-05
2014-04-27,2014.3205479452056,0.10037186731349255,0.10039202350815055,0.10057216546053116,0.10062546506370378,0.10050747781420248,0.10044138758673295,0.10039030936498611,1.868851214124012e-05,1.8241145692094545e-05,2.1290995716198994e-05,2.0539560619842088e-05,2.0163598986455376e-05,1.860048782877658e-05,1.998169826672864e-05
2014-04-28,2014.323287671233,0.10041636136081734,0.10041380440361632,0.10051906442901505,0.10058949485149299,0.10049237839176009,0.10039302689072004,0.10041891214577692,1.9754609489354248e-05,2.0085857527503716e-05,2.140832870431123e-05,2.2325882339080804e-05,1.8155145499087552e-05,2.0503278839125082e-05,2.0320127751601597e-05
2014-04-29,2014.3260273972603,0.10037243313052052,0.10042726247443279,0.10042754186008805,0.10044999740723573,0.10042312472869427,0.1004099815529073,0.10043660220123017,1.9593575266199504e-05,1.769527752784706e-05,2.7120905868855504e-05,3.570454134690679e-05,2.870966055627202e-05,1.9178249933817205e-05,2.0872270874929243e-05
2014-04-30,2014.3287671232877,0.10032909458466154,0.10031866801568617,0.10039702626530593,0.1004007109003408,0.10035628037255592,0.10031929125321958,0.10032894587160208,2.4749105867841728e-05,2.2908462442542035e-05,3.901599618342852e-05,5.070192149975878e-05,3.929138076809902e-05,2.4994834914370626e-05,2.3619696506408455e-05
2014-05-01,2014.331506849315,0.10037177252985288,0.10037068608696935,0.10045557300350161,0.10047484847709759,0.1004652484381565,0.10035811704884494,0.10033758291902349,2.2967461350416493e-05,2.497460993537385e-05,3.804382430214004e-05,4.359061166346492e-05,3.6732434283279016e-05,2.4604185336798687e-05,2.4810161920697287e-05
2014-05-02,2014.3342465753424,0.10038957076419919,0.10037994109939923,0.10043512311727454,0.10046247667552212,0.10043863010067752,0.1003585659035722,0.10036316371723744,2.0980268640137752e-05,2.012483540409295e-05,2.9924303007740735e-05,3.6027403960197994e-05,2.7463897809981675e-05,2.075040309504235e-05,2.0912336684524423e-05
