Date,Date Fraction,10833.15,10832.13,10831.00,10830.30,10829.60,10828.47,10827.45,10833.15 error,10832.13 error,10831.00 error,10830.30 error,10829.60 error,10828.47 error,10827.45 error
2017-02-17,2017.131506849315,0.03535075307456198,0.035362467403912884,0.03534584130669965,0.03529438222612327,0.03519947530156561,0.03529245224173646,0.03529320166395513,5.929148223249424e-05,5.7590317824796404e-05,6.578151353968023e-05,6.521281427964965e-05,5.7546036593579716e-05,6.394880340054892e-05,6.589277244594928e-05
2017-05-05,2017.3424657534247,0.03533353884848771,0.03545496719271851,0.03531326954086507,0.03534732714208035,0.035456029533432847,0.03539847658917316,0.03534239188419811,6.0052803877969515e-05,6.227817936066219e-05,6.716377731300061e-05,6.170701957625258e-05,6.620704276471214e-05,5.9782020107614885e-05,5.625126317989694e-05
2017-05-06,2017.345205479452,0.03533014427792617,0.03532349740827208,0.035419433090654553,0.03522213147280569,0.03533299049640254,0.03542182203038654,0.0353605310735034,6.380442798456982e-05,6.420703177639726e-05,6.140062672512796e-05,6.737047546077661e-05,5.85621299896287e-05,6.211363027664205e-05,6.271620124428568e-05
2017-05-07,2017.3479452054794,0.03542233782378864,0.03541897850493054,0.035480970603933785,0.0354679081579395,0.03545986496418738,0.035473037627200686,0.03538906089762677,6.139121984071072e-05,5.40772786265315e-05,5.259750015702905e-05,6.252188755476439e-05,6.084460351075502e-05,5.836261496188949e-05,5.852958048627329e-05
2017-05-08,2017.3506849315067,0.035490910006192665,0.03548056847640287,0.035442914262143556,0.03533060369962562,0.0353299909151429,0.035374426196615565,0.035350026691761106,6.060520169604248e-05,5.8476066238838627e-05,5.8101486162220356e-05,6.0915301313716615e-05,5.843641193304017e-05,6.357482667952084e-05,6.281677918710571e-05
2017-05-10,2017.3561643835617,0.035374104705646996,0.03529750466307831,0.035293560179070954,0.03537703566397384,0.035465823604171026,0.03548087539025996,0.035526643854401484,5.3179120792247204e-05,6.682605121437706e-05,5.8866382267695724e-05,5.844414365512699e-05,5.4132837709291084e-05,5.508445965134789e-05,6.156384755571881e-05
2017-05-11,2017.358904109589,0.035402062044512336,0.03536497412226143,0.03539846648080322,0.03530886462036422,0.03531238209805513,0.0354364696542543,0.03535777797020593,5.48494054531564e-05,6.130362302406228e-05,6.540875026586539e-05,6.804195845042902e-05,6.299342226936415e-05,6.223859567812828e-05,6.612551070310129e-05
2017-05-12,2017.3616438356164,0.03530869609338448,0.03536577656842158,0.03537025638611023,0.03531404358639367,0.035326160758694596,0.03540153623626732,0.03535522738512323,5.5372068771819814e-05,6.49108051747667e-05,6.081699114624044e-05,5.8304095233315275e-05,5.2504935806229265e-05,5.447838370714602e-05,6.163185815654228e-05
2017-05-13,2017.3643835616438,0.035351343110464395,0.035377907783493215,0.03543542918941517,0.03532013057224142,0.035436975717589435,0.03547580789906546,0.03544900614593544,5.807190867171648e-05,5.753656995335062e-05,5.61460508789621e-05,5.7144911326435946e-05,5.869513427460607e-05,6.198116309145312e-05,6.402191552544056e-05
2017-05-14,2017.3671232876711,0.03545212935932729,0.03540702229313188,0.035511014793064816,0.03538624642799371,0.03541348621118366,0.03539555510853196,0.03539349574226627,6.428882792607297e-05,6.627290882799925e-05,5.6849596478878975e-05,6.245716667698791e-05,6.552126471624633e-05,5.929370284254491e-05,6.117957779974504e-05
2017-05-15,2017.3698630136987,0.03547903218289995,0.03536656272618255,0.035382620545423994,0.03539583250605743,0.03545933303664555,0.035391929024767364,0.035454522817287226,6.178090353982129e-05,6.030912399693962e-05,5.950829682111814e-05,6.267185873806538e-05,5.365043211711456e-05,5.832238575340764e-05,5.9083464850950494e-05
2017-05-16,2017.372602739726,0.03542763817905386,0.035388387769501185,0.03537831413431797,0.035320174542888466,0.035461654313478856,0.035421622842967806,0.03538982034910339,5.83840059095276e-05,5.425954379474485e-05,5.6101816140328425e-05,5.974879756381277e-05,5.945247114916675e-05,6.10851800379978e-05,6.092698574696487e-05
2017-05-17,2017.3753424657534,0.03539257060596888,0.03547193587477299,0.03546995969274065,0.03547447776219902,0.03547336208405933,0.03542196394674756,0.035352700874978375,6.69808037342411e-05,5.960426262531604e-05,6.39190949407515e-05,6.19732775420772e-05,6.319911439368745e-05,5.676256447641427e-05,5.548860509954747e-05
2017-05-18,2017.3780821917808,0.03543876223373996,0.03548216244941621,0.035365875525502674,0.03554617885311985,0.035432014067775484,0.035484538461712706,0.0354911427902376,6.165166042333827e-05,5.919563415642091e-05,6.800332800630344e-05,6.0274121429089785e-05,5.845100201137784e-05,6.930958201912697e-05,5.767555641972469e-05
2017-05-19,2017.3808219178081,0.03550212699715432,0.03537091469300057,0.03548901134581583,0.035338920441861627,0.035395551230327636,0.03550055355292352,0.035444954303064026,6.129211376585471e-05,6.160423257958652e-05,5.3379524506167006e-05,5.93069831196938e-05,6.641534136569317e-05,5.79580986814755e-05,6.0898815619675726e-05
2017-05-25,2017.3972602739725,0.035501696205674324,0.035398078737442794,0.035551958833161354,0.03538697342579961,0.03550947177278891,0.03540393719813374,0.03538768234640402,5.378054812882886e-05,6.0155352979373015e-05,5.957520726830486e-05,5.983673754290614e-05,6.241741068386286e-05,5.6067998633688665e-05,6.382711688279818e-05
2017-05-26,2017.4,0.03540301168387355,0.03533312938223403,0.035303812615910965,0.03542839625946057,0.03541660143873896,0.03547300065801902,0.035416709982228775,6.594827831532527e-05,5.912222423882463e-05,5.9694824121488596e-05,6.478228707219919e-05,5.592410268293648e-05,6.63126506826413e-05,5.520511508666385e-05
2017-05-27,2017.4027397260274,0.03538778789561936,0.03533523035080075,0.0354980089505661,0.03539909226601672,0.0355276739749326,0.035416921995803013,0.03540185922157881,5.8569832670618573e-05,6.454801962736166e-05,5.91567739188131e-05,5.973415635075613e-05,6.149341229067312e-05,6.464272142839963e-05,5.980028554317271e-05
2017-05-28,2017.4054794520548,0.035417805347547265,0.03536154140723549,0.03532095731456797,0.03525047247354009,0.03530728758647477,0.03533212755193916,0.03550190974087182,6.307313627406118e-05,6.037290494640416e-05,6.192932060765975e-05,6.44407578009972e-05,5.985308840586197e-05,5.692838087917705e-05,6.288979924312985e-05
2017-05-29,2017.4082191780822,0.0355005760195912,0.035375278343449904,0.03530711852460273,0.03532787215416094,0.035283215533876526,0.03537927149933958,0.035404793309280785,6.214548823620694e-05,6.274063039444957e-05,5.7748498831796294e-05,6.793452801003232e-05,5.795855155021082e-05,6.148983200529286e-05,6.539519772152206e-05
2017-05-30,2017.4109589041095,0.03543833804983462,0.03532321721642061,0.03534129521531207,0.03543308542871408,0.035452500534815155,0.035401930260294756,0.03547569929448505,6.010907284364006e-05,5.899102995100266e-05,5.56305630892791e-05,6.140776809144714e-05,6.202288943187487e-05,6.08718161177341e-05,5.6257256748763756e-05
2017-05-31,2017.4136986301369,0.03540670162773138,0.03541290247988821,0.035383909832840094,0.03527862005593108,0.0355196362055747,0.03538741404737092,0.03545319642744827,6.0098594722424525e-05,5.8951284376362985e-05,6.317156939344073e-05,5.9561627759488334e-05,6.544398581148072e-05,5.699615687292129e-05,5.527086831120128e-05
2017-06-01,2017.4164383561645,0.03534195034425249,0.035389477063262814,0.03550194873985735,0.03540986080191065,0.03532467270828024,0.035427756124441455,0.035467604193243824,6.522174383941926e-05,6.209948876428538e-05,6.335198763677148e-05,5.645039477887278e-05,6.12590405636305e-05,6.155938989562277e-05,5.9908999617084884e-05
2017-06-11,2017.4438356164383,0.03552534311462601,0.03535398077019809,0.03539896082964772,0.03533653275886602,0.03538687648378768,0.03549305009732294,0.03533996945024918,6.496337000086573e-05,5.974258500563716e-05,6.15506600056196e-05,6.0399960511574264e-05,6.398869724011266e-05,5.938364186161856e-05,6.173834116557973e-05
2017-06-12,2017.4465753424658,0.035467729529540235,0.03519540974698755,0.03543010573810282,0.03552166982668605,0.03551530759198112,0.03544838220429636,0.035295912214994576,5.7373351971786766e-05,5.533792459928839e-05,5.9590051490427824e-05,5.8218273565513095e-05,6.22857431650362e-05,6.0266297309923915e-05,5.90461734691914e-05
2017-06-13,2017.4493150684932,0.03523554277997724,0.035325186872838595,0.0352270406451776,0.03532005989952236,0.03535841471633975,0.03526263340375952,0.03516616292426056,6.0139233449892326e-05,6.360426624677217e-05,6.672218014780417e-05,6.365449492755311e-05,6.058442570794622e-05,6.308116198750909e-05,5.6609508714755094e-05
2017-06-14,2017.4520547945206,0.03541764706148975,0.035413353183000464,0.035475756610112485,0.03544012503543943,0.03544346490200819,0.035467815481456166,0.03544240415780441,6.186631494277742e-05,5.767100285554887e-05,5.804508218982895e-05,5.834830295343493e-05,6.287200798061552e-05,5.700087011754958e-05,6.169614190531345e-05
2017-06-15,2017.454794520548,0.03535467704144755,0.03539856165680482,0.035485519850231656,0.03534746184873288,0.03533839992173221,0.03544141020754375,0.03544854815774457,5.844506009438048e-05,5.7710261654154176e-05,6.060475657286351e-05,5.683978147338908e-05,5.994386328926152e-05,5.971426428509369e-05,5.6136084751198476e-05
2017-06-17,2017.4602739726026,0.03539927688200942,0.03546573190432154,0.035413535268623716,0.035501041670769874,0.03545872517702171,0.035465151457695916,0.03544428446080845,5.5150892613088314e-05,5.8267942697096054e-05,6.286549509609596e-05,5.690085134471452e-05,5.837963013673737e-05,6.473172975154081e-05,5.953562977248453e-05
2017-06-19,2017.4657534246576,0.035386679210212685,0.03543105079299797,0.03540235011758251,0.035315035394182875,0.035488714257659294,0.03542541006924247,0.03532576811491209,5.573148774820887e-05,6.260753062045356e-05,5.9341030296598834e-05,6.50540209205834e-05,6.355262939246054e-05,6.265377946264437e-05,5.894294403115165e-05
2017-06-20,2017.468493150685,0.03547086014013406,0.03542211170654089,0.035426558873728246,0.03544305490379503,0.03533560273781404,0.035393638794942076,0.03547188692495612,6.712362072877715e-05,5.9176645848389963e-05,5.540844102154784e-05,6.453873413168476e-05,5.508470671771976e-05,6.12147411995865e-05,5.7743596259768684e-05
2017-06-21,2017.4712328767123,0.03532668444252555,0.035377636543255396,0.03545111779118202,0.03537724681952185,0.03533866549563337,0.035301621654528895,0.0353878257859164,6.103688329777524e-05,6.810522080649734e-05,5.902223766292323e-05,6.171433154311876e-05,5.8168073408566074e-05,5.9144787387084856e-05,6.185644561568572e-05
2017-06-23,2017.4767123287672,0.03539359912765261,0.03527011497032565,0.03540598097052181,0.035345780095178365,0.03546883939752699,0.035382751838720895,0.0353467469720034,5.957100809305067e-05,5.665141676452358e-05,5.6140255330854246e-05,5.732525761080055e-05,6.041880079710875e-05,6.784534367101474e-05,6.108554720502572e-05
2017-06-28,2017.490410958904,0.03532920286954708,0.03543929025686308,0.03538504667724827,0.035373731338552795,0.035366220110741385,0.035369916571110264,0.03538706604268111,6.192714420847137e-05,5.99619769222133e-05,6.451127261026062e-05,5.5796718778458044e-05,6.187837044039505e-05,5.987559046232111e-05,6.667189236265611e-05
2017-06-29,2017.4931506849316,0.03529834832641245,0.035312120617654666,0.03542814736604233,0.03533363007138081,0.035380027741431876,0.03548479646117201,0.03537937747751681,5.784450555921278e-05,5.87210833844855e-05,6.184779410567945e-05,6.2129977485218e-05,5.8531950423342776e-05,6.0509487040846095e-05,6.054690573835312e-05
2017-06-30,2017.495890410959,0.035322835826434223,0.035308727437923314,0.035369125457803435,0.03541545480330279,0.03527692376592523,0.035402561308473295,0.03528084170127261,6.122478811720551e-05,5.970468392838345e-05,6.283860495548474e-05,5.7232631204216956e-05,5.9435645747341276e-05,6.305225445736439e-05,5.381319577414383e-05
2017-07-01,2017.4986301369863,0.03536460939279256,0.03534983625458697,0.035415249430715244,0.03523975802279544,0.03534418865760192,0.03536460502741406,0.03528021810869769,6.506465156496123e-05,6.0970366531487725e-05,5.5280340463286035e-05,5.955057129322616e-05,6.257368200368405e-05,5.992555518908136e-05,6.35332336052308e-05
2017-07-12,2017.5287671232877,0.03541662074475982,0.0353581251317488,0.03524807754364611,0.035439634419664835,0.03547087063402456,0.035350811915555246,0.03542763142443905,6.108360380913965e-05,5.967447054985808e-05,6.769079153522969e-05,6.02090617514251e-05,5.914501526448775e-05,6.473101981852722e-05,6.562202686718372e-05
2017-09-22,2017.7260273972602,0.03523474627697472,0.03531940998145945,0.03530498725533931,0.03528077256965507,0.035357170740341275,0.03528932572196369,0.03530958199976034,6.250093003500642e-05,6.368708008230392e-05,6.209447932129074e-05,6.172357329932982e-05,6.362759154527807e-05,6.020013091895226e-05,6.140977633088853e-05
2017-09-27,2017.7397260273972,0.0353576872175392,0.03535055935684738,0.03531842012764698,0.03533360589389801,0.03533456670829755,0.03535288096941086,0.03527146048890793,6.102582450558737e-05,6.467565590744854e-05,6.060865279150093e-05,5.791392335801892e-05,6.0575199164469315e-05,5.8328733802860924e-05,5.88482319149143e-05
2017-09-28,2017.7424657534248,0.0353781907905723,0.03541247478055638,0.03528137377270346,0.03541246782895034,0.03540585569417227,0.0353514243259774,0.03531843677657261,5.7451345087420725e-05,6.0702867760929244e-05,5.6903334800357286e-05,5.6972714663382465e-05,5.65540737164014e-05,5.462385064865067e-05,6.458907459998969e-05
2017-09-29,2017.7452054794521,0.03533126796318661,0.03526861542066524,0.035390017112598926,0.03531197457124011,0.03536878348977329,0.03531411582059622,0.03530290692516334,5.726268052421377e-05,6.454259297545622e-05,5.8392012596676224e-05,6.9090749352683e-05,6.186378788118662e-05,6.674901533343355e-05,6.384085126103444e-05
2017-09-30,2017.7479452054795,0.035355552360282594,0.035381317039308656,0.03522316896512393,0.035305852452958655,0.03543981379529217,0.03535680426797897,0.03538034008657423,6.189225412214051e-05,6.25746200868047e-05,6.000736406170865e-05,5.689196587975042e-05,5.4536890004175285e-05,6.694805523580585e-05,6.011027739723588e-05
2017-10-01,2017.7506849315068,0.0353508438362988,0.03532122539373575,0.03541062911503597,0.03523896354423938,0.035343499134340706,0.035331355824348425,0.03543786614790319,7.302615015183879e-05,6.17983094022323e-05,6.035197184110957e-05,6.613134468002811e-05,5.955346464319345e-05,6.107742400738985e-05,5.81183310284315e-05
2017-10-06,2017.7643835616439,0.03532760513811293,0.03529772348035585,0.03522273942608113,0.03530773413151298,0.03538804651726669,0.035373466261332226,0.03525652109877644,5.8106145067023304e-05,6.444431000229015e-05,6.023480977928998e-05,6.31711053092289e-05,6.777305017924005e-05,5.907098053623248e-05,5.6083222644049096e-05
2017-10-07,2017.7671232876712,0.035416882388954726,0.0354058570695018,0.035251823567514655,0.0353599669078725,0.03531136257854766,0.03545592321741418,0.03546864443307257,5.734151460286722e-05,6.414706819543306e-05,6.429586785580245e-05,5.869949739687401e-05,6.0873750578503353e-05,5.395520159536663e-05,5.8846121639699126e-05
2017-10-09,2017.772602739726,0.03538131530340593,0.03530491258705398,0.035383883583175166,0.03537139656508195,0.03534845275017577,0.03538064395777072,0.03526428420724983,6.342677529020417e-05,6.059112581087376e-05,5.7798172429237316e-05,6.449214620610792e-05,6.296212447741156e-05,5.887463340656796e-05,6.0512846195676354e-05
2017-10-10,2017.7753424657535,0.03537074859092709,0.0353458129657225,0.035445021378790194,0.03542684823460759,0.035359633638025766,0.03545826527890036,0.03532728497516394,5.666358340658786e-05,6.280545255622025e-05,5.81317857459373e-05,6.154744274384643e-05,6.156899087650325e-05,6.31970194244786e-05,5.779306099374883e-05
2017-10-12,2017.7808219178082,0.035265636739942395,0.03546532229658908,0.035441642881569715,0.0353847706722537,0.035446250071768555,0.03536502430772092,0.035402784325031564,6.348651140009472e-05,5.135069472632481e-05,6.638130424708849e-05,5.9758878811453384e-05,5.708956191737101e-05,6.79408686312998e-05,5.6850299133342404e-05
2017-10-18,2017.7972602739726,0.03536432058749443,0.0353954032114267,0.03525139402230325,0.0353786795674649,0.03526403088808453,0.035391526865986074,0.03537165860660579,6.1996810735672e-05,6.42611019155128e-05,6.311995359387933e-05,5.8566857951124866e-05,5.9204029583011216e-05,6.303446402304107e-05,6.390180901087009e-05
2017-10-19,2017.8,0.035362495677076396,0.035356823325447075,0.035275528427096636,0.035425623345231624,0.035375315361681446,0.03536914756157643,0.035270650566764136,5.9282832088338444e-05,6.031742740016419e-05,6.362439845307758e-05,6.047507696141488e-05,6.345242628666444e-05,6.524631981016063e-05,5.7038942555816185e-05
2017-10-20,2017.8027397260273,0.03537175893417523,0.03522914445344836,0.03528770906741468,0.035432100721550834,0.03536963334381787,0.03533905109923915,0.03537973468688027,6.48138708689039e-05,6.41562623314342e-05,6.062976436646259e-05,6.338378778339177e-05,6.593861653444072e-05,6.015530592774533e-05,6.246357714100343e-05
2017-10-21,2017.805479452055,0.03545390193172043,0.03533149896480158,0.035300185637292675,0.03535437917781855,0.035417311423657324,0.03529216658125652,0.035500616611960335,5.6723486415089887e-05,6.0031061796973566e-05,6.697025459021038e-05,6.067197380245385e-05,6.598416059977274e-05,6.768668587750036e-05,5.862286233536217e-05
2017-10-22,2017.8082191780823,0.03531833142396754,0.03530885030815611,0.035199444408025256,0.03532081491461567,0.03540042010438524,0.0352921055880896,0.035377973724871274,6.113598166435976e-05,5.907117177725923e-05,5.784919019934814e-05,5.8045304702079036e-05,6.241575692472268e-05,6.505306123884604e-05,5.7638210914464326e-05
2017-10-23,2017.8109589041096,0.03535333187782009,0.03530430627676654,0.03534173187382894,0.035353819447425126,0.03533736761160005,0.03525396293641925,0.035322324545040445,5.800496390382914e-05,5.998171861932713e-05,6.140088233570454e-05,6.434367591852755e-05,6.307858599238852e-05,6.315977605452632e-05,6.19828355130362e-05
2017-10-24,2017.813698630137,0.03533559343399031,0.03531541055613364,0.035475517485012556,0.03531965237264778,0.03540544654048527,0.035395750064296974,0.035313259205921814,6.518056727177774e-05,6.094878986332678e-05,6.248442791783965e-05,5.637088575686382e-05,6.494770467278013e-05,5.625452628973146e-05,5.7259320593901654e-05
2017-10-25,2017.8164383561643,0.03542143139106691,0.03536964682412378,0.03531843636747839,0.03531579630817354,0.03532748802328564,0.03536402549034688,0.03527445032856362,6.153876037268194e-05,6.21459221330357e-05,6.352570837699211e-05,6.174868046442972e-05,5.635559715031482e-05,6.0535649703944e-05,5.8696515486674425e-05
