Date,Date Fraction,10833.15,10832.13,10831.00,10830.30,10829.60,10828.47,10827.45,10833.15 error,10832.13 error,10831.00 error,10830.30 error,10829.60 error,10828.47 error,10827.45 error
2012-04-13,2012.2841530054645,0.03529978761456428,0.03530105376394312,0.03534930471376416,0.03532945283784085,0.035363839822806234,0.03522984156719073,0.03537284401160707,4.8773148261654204e-05,5.263359443940139e-05,4.9804185594129576e-05,5.117305606282282e-05,5.376817309774361e-05,5.118750660460754e-05,4.9133159524690805e-05
2012-04-14,2012.2868852459017,0.03536248717425256,0.03537592764409057,0.03517124283867392,0.03529696692474668,0.035309678462415776,0.03541029495110014,0.03544505644034654,4.997316397142096e-05,5.140999423405195e-05,4.959573605256493e-05,5.310069503772052e-05,5.084790719110904e-05,5.0076619414584965e-05,4.310862787906781e-05
2012-04-17,2012.295081967213,0.03532543777406029,0.03535665238356802,0.035300290916922265,0.035258878105328094,0.03527844518237978,0.035318273864256816,0.0353992678779899,4.9425686893523576e-05,5.172315158663352e-05,5.21948781537743e-05,5.3829367703072e-05,4.856349758764823e-05,4.8357597999600906e-05,4.80303169975296e-05
2012-04-18,2012.2978142076502,0.03533701535017576,0.035374570118344065,0.03525268794313888,0.03527800667276096,0.035270208227675404,0.035374838279076365,0.03538064681492881,5.097079227523331e-05,5.2098088056253236e-05,5.282679431788478e-05,5.235668419039111e-05,5.319900024021377e-05,4.989093020950801e-05,5.210423047296915e-05
2012-04-19,2012.3005464480875,0.03533898568323429,0.035325324051566444,0.035272888297519706,0.03523883641972395,0.03532201060705499,0.03528446301431046,0.035402547725581546,5.122470515116626e-05,4.777655639612669e-05,5.374913709769404e-05,5.9758221594125576e-05,5.213088167125536e-05,4.8725081564207725e-05,5.2171382773709185e-05
2012-04-20,2012.3032786885246,0.03538303013350224,0.03542520586960682,0.035289177900527276,0.035226978614140286,0.035225850899266546,0.035424892842723536,0.035294757040278533,5.243250652603612e-05,5.364727360157046e-05,5.535215935716812e-05,5.013994384705338e-05,5.547567569905847e-05,4.691640437253184e-05,4.716989331294075e-05
2012-04-21,2012.3060109289618,0.03537619912741133,0.035399038611221775,0.035251664407532975,0.03519435948355579,0.035314064270565396,0.03526948787339431,0.035500658422844576,4.777639615429493e-05,4.868107055725296e-05,5.0966584039063205e-05,5.538650828447173e-05,4.804595596302715e-05,5.048870737143691e-05,5.328360753543129e-05
2012-04-23,2012.311475409836,0.03542127328890654,0.03534364479406613,0.03526055937721149,0.03527594443539731,0.035305891690897886,0.035356037894064794,0.035322275261139444,4.997529892059936e-05,5.270821959545121e-05,5.545664863442511e-05,5.5674543158095204e-05,4.8655413395340184e-05,5.3519392749829255e-05,4.989140106147735e-05
2012-04-24,2012.3142076502731,0.035383827699685746,0.035449145518219136,0.03520015899949606,0.03518570867578283,0.03525702809753166,0.0353324873111755,0.03537693625085173,5.09044476502723e-05,4.52477238018296e-05,5.253766432114681e-05,5.686492042676316e-05,5.0828988835246224e-05,4.9333913750491846e-05,5.200021416383157e-05
2012-04-25,2012.3169398907103,0.03525159881515532,0.035331438672371755,0.03512109078700792,0.03517701112281467,0.03520733003593184,0.03528496579203943,0.03532743057248944,5.172361429169142e-05,4.671400061170261e-05,5.628974082243636e-05,5.6212549359231144e-05,5.592024867950764e-05,5.208776358550691e-05,5.2158334803998644e-05
2012-04-26,2012.3196721311476,0.035379937465191406,0.03530805215960953,0.03508179572556163,0.03510401980398368,0.035248376761449415,0.03536629763073473,0.035279422288270905,4.498415434280416e-05,4.492014392997767e-05,5.986218490105632e-05,5.595117916674445e-05,5.229803064230245e-05,5.0098928207485415e-05,4.8621345111212164e-05
2012-05-09,2012.3551912568305,0.03528632979513445,0.035239314543616444,0.035174943772969126,0.035100921999047296,0.03514271866176788,0.03525444127125993,0.0353079602217275,5.225155414031229e-05,5.433744667202362e-05,6.816781051795653e-05,6.887345708380073e-05,5.979944747430697e-05,6.333361302045853e-05,6.22754302472843e-05
2012-05-10,2012.3579234972678,0.03524628521195327,0.03525065418856209,0.035101049716938997,0.03509992897155094,0.0351860450504729,0.03526892906030037,0.03526026637691994,5.3516478742217914e-05,4.9300373877799284e-05,6.84819052673475e-05,7.113884695301355e-05,6.125564979376667e-05,5.909300318423786e-05,5.9809728030610904e-05
2012-05-11,2012.360655737705,0.035336695183456265,0.03521164761949894,0.035095893206743306,0.03515514529382732,0.03517338469390803,0.035272552476251856,0.03527815974619611,5.857098696877546e-05,5.820581358842572e-05,6.292695321907235e-05,6.97792233315947e-05,6.476177028838314e-05,5.356454603347456e-05,5.7246518437332954e-05
2012-05-12,2012.363387978142,0.03531045522876992,0.03526319474986939,0.03514174063765677,0.03503854957863439,0.03524837292104417,0.035294018056276875,0.03527035212037688,5.320365734916833e-05,5.1313519268491936e-05,5.99016319820997e-05,6.709914303191907e-05,5.895180089429345e-05,5.1804765178911634e-05,5.558685213970103e-05
2012-05-15,2012.3715846994535,0.03538839635286328,0.03530102406211793,0.035161456968367304,0.034982941338199305,0.03520650614871947,0.035380755364720025,0.03546139143117739,5.576778251733191e-05,4.925356075239245e-05,5.308765818515704e-05,6.0798575070149604e-05,5.187927916232233e-05,4.8059201018056945e-05,5.1631832683674204e-05
2012-05-16,2012.3743169398906,0.03529977627027692,0.03535140033157691,0.03516782177217669,0.035090969241945054,0.03512358316921415,0.035328110159641456,0.03537093390389791,5.100264105270041e-05,5.0585772841784985e-05,5.623898871350516e-05,5.8829505439151465e-05,5.0470365924600485e-05,4.882977937014191e-05,5.136582171683212e-05
2012-05-19,2012.3825136612022,0.035377267536044144,0.035341895038637564,0.0350392312743092,0.03502588664545086,0.03518592270019737,0.03525883644361236,0.03533232288541585,4.9387303597913946e-05,5.334229223618636e-05,5.7746216343070085e-05,6.695784909086724e-05,5.3258388238299274e-05,4.921000376234306e-05,5.705891254186176e-05
2012-05-20,2012.3852459016393,0.03535159242567549,0.03537915011967145,0.03507275435788635,0.03505740864234338,0.03514152562704545,0.035348801007579096,0.035304459436435134,5.294632642445018e-05,4.982196730630538e-05,5.8044310645926085e-05,5.870476046896354e-05,5.518366014999579e-05,5.399377760072398e-05,5.21763421579426e-05
2012-05-21,2012.3879781420765,0.03531254173152669,0.03525260980677129,0.03513446537489204,0.035034424892396686,0.03528958138385884,0.035292940801693526,0.035236270388172244,4.73476651848418e-05,4.7345603123539557e-05,5.6952319662548906e-05,5.712821191106918e-05,5.2359786260992604e-05,4.855952378514622e-05,4.981421575283109e-05
2012-05-22,2012.3907103825136,0.03541395280628965,0.035333912877366175,0.03502856704233183,0.03515233738769215,0.035255882963574826,0.03533440589665156,0.0353536258922979,4.978214172589251e-05,5.551504357511026e-05,6.141674086148563e-05,5.861430500263367e-05,5.264569416906866e-05,5.334597640193871e-05,4.8384134244234845e-05
2012-05-23,2012.3934426229507,0.03532593953648351,0.03532951355862349,0.03514242812561128,0.035167643691513345,0.03528128152080048,0.03532705934842618,0.03534524780708983,4.967250730993307e-05,4.909134023656553e-05,6.429348864042482e-05,5.3668153954381824e-05,5.237006073226456e-05,5.030519477993557e-05,5.259276324944559e-05
2012-05-24,2012.396174863388,0.03528050969976043,0.03529464519075399,0.035231181009432594,0.03521932872139208,0.03526918772071945,0.035299473865372355,0.035350169807773175,5.318243387078129e-05,5.096744936309213e-05,5.561101691090493e-05,5.591149059261528e-05,4.717586684075141e-05,4.986047129137646e-05,5.131586385007848e-05
2012-05-25,2012.3989071038252,0.03536317443227302,0.035339583315398694,0.03521851134933015,0.03523143547235861,0.03527871581966757,0.03533951592585106,0.035393708500312066,4.991324796279207e-05,4.933617871796158e-05,5.402964520527903e-05,5.618033074914233e-05,4.901071640431218e-05,4.4716183232427146e-05,4.7700539378029295e-05
2012-05-26,2012.4016393442623,0.03527984511689525,0.035258039460236264,0.03533420445469421,0.03534507143848869,0.03535946691258718,0.03525519582652121,0.03535254255449426,5.389032235058163e-05,5.430580233306148e-05,5.346953129840205e-05,4.6814324523857185e-05,5.303821540007282e-05,4.95764764704904e-05,5.086423293716941e-05
2012-05-27,2012.4043715846994,0.03536260097479766,0.0353085148564251,0.03523871008703071,0.03531502816318863,0.03532700150917202,0.03538389146227321,0.035347301211435936,5.2455328242554406e-05,5.062433841396629e-05,5.4019368706625736e-05,4.8851058301479865e-05,4.970186380365491e-05,4.4252133203382246e-05,5.377468222158901e-05
2012-05-28,2012.4071038251366,0.03532192783860692,0.03540233376434421,0.03541586789155864,0.03527583529427105,0.03525838526504382,0.035373406871566926,0.03538466665352559,4.9438102503968695e-05,4.8514581014507654e-05,4.9884054735576456e-05,5.4925584759564555e-05,5.412669144121048e-05,5.085089515360133e-05,4.73778957524075e-05
2012-05-30,2012.4125683060108,0.035375940669901976,0.03536744793932341,0.03527683696389765,0.03539733520589003,0.035369355701791644,0.03535584605514628,0.03536916530114639,4.9645438570859625e-05,5.1080362487231175e-05,4.874381618805196e-05,5.0819261530760545e-05,4.945141761520758e-05,4.6634745424141136e-05,4.5831961515807236e-05
2012-05-31,2012.4153005464482,0.03546186962758218,0.035392914347932666,0.03520432009730721,0.035276573625186596,0.03523484871145048,0.03534887302469889,0.03526327230163691,4.724685064670261e-05,4.9633057255860694e-05,4.963706678067145e-05,5.0049655441228576e-05,4.795192207763391e-05,4.749283876318919e-05,5.2749760032950515e-05
2012-06-01,2012.4180327868853,0.035231372931189296,0.035487479208222,0.03532460993486316,0.035189987920059444,0.035259799356138835,0.03544614194963304,0.035351112848562516,4.9983280086517075e-05,4.481426653347436e-05,5.135315543831486e-05,5.9569466794964605e-05,5.2082998164203493e-05,5.357007410703025e-05,5.1973804550340804e-05
2012-06-02,2012.4207650273224,0.03533723353773044,0.03530507975611363,0.03513504102984958,0.03508232053606046,0.03521947143550004,0.035314600448603885,0.0353437342141433,5.290852269538186e-05,5.1558700836373964e-05,6.054629254063448e-05,5.552486075361705e-05,5.186378236221392e-05,5.590170324426235e-05,5.0633736891321394e-05
2012-06-03,2012.4234972677596,0.035405555990380304,0.035339504295532315,0.03508742247259789,0.03502448889575097,0.03526871293736111,0.03528927241788421,0.03538852424402749,5.086244759881474e-05,4.806261237231822e-05,5.3968571839298274e-05,6.35720016485566e-05,4.867853065419551e-05,5.39014770667861e-05,5.506765860163538e-05
2012-06-04,2012.4262295081967,0.03533162639794454,0.035307825117604635,0.03529686079294516,0.03516146739918416,0.03530425700361611,0.0353222649958586,0.03525749075865273,5.08393929879101e-05,5.533415305320532e-05,5.478341916511797e-05,6.0866216042431344e-05,5.521653380439712e-05,4.600957500404951e-05,5.214964830057136e-05
